id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,habilidades
18,Administrador de Sistemas,Administrador de Sistemas,GBM Panamá,Konzerta,2026-05-09,900.0,1700.0,3,Soporte & IT,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un Administrador de Sistemas con al menos 3 años de experiencia comprobada.,"Cisco,Virtualización,Linux"
19,Product Owner,Product Owner,Felipe Motta,Konzerta,2026-01-08,2300.0,4000.0,1,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Felipe Motta) busca incorporar un Product Owner con al menos 1 años de experiencia comprobada.,"Excel,Jira,Scrum,Agile"
20,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,GBM Panamá,Konzerta,2026-01-08,1900.0,2800.0,3,DevOps & Cloud,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un Cloud Infrastructure Specialist con al menos 3 años de experiencia comprobada.,"Python,AWS"
21,Scrum Master,Scrum Master,Cable & Wireless,Konzerta,2026-03-08,2500.0,3300.0,2,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Cable & Wireless) busca incorporar un Scrum Master con al menos 2 años de experiencia comprobada.,"Jira,Scrum,Agile"
22,Data Analyst,Data Analyst,Sonda Panamá,LinkedIn,2026-01-14,2300.0,3600.0,2,Data & Analytics,"En Sonda Panamá estamos expandiendo nuestro equipo técnico. Requerimos Data Analyst con sólidos conocimientos en Excel, R, Spark para liderar la transformación digital de la empresa.","Excel,R,Spark"
23,Fullstack Engineer,Fullstack Engineer,Supermercados Riba Smith,Konzerta,2025-12-15,1700.0,2600.0,3,Fullstack,Buscamos un Fullstack Engineer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Supermercados Riba Smith en Panamá.,"Node.js,JavaScript"
24,UI Developer,UI Developer,EY Panamá,Computrabajo,2026-04-21,1600.0,2500.0,1,Frontend,Buscamos un UI Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para EY Panamá en Panamá.,"JavaScript,Git,React,Vue"
25,Desarrollador Web Fullstack,Desarrollador Web Fullstack,EY Panamá,Konzerta,2025-12-28,2500.0,3600.0,3,Fullstack,Buscamos un Desarrollador Web Fullstack dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para EY Panamá en Panamá.,"SQL,React"
26,Administrador de Sistemas,Administrador de Sistemas,EY Panamá,Konzerta,2026-02-27,800.0,1300.0,3,Soporte & IT,Buscamos un Administrador de Sistemas dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para EY Panamá en Panamá.,"Virtualización,Linux,Redes"
27,Soporte Técnico IT,Soporte Técnico IT,PwC Panamá,Computrabajo,2026-03-08,1100.0,1400.0,2,Soporte & IT,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (PwC Panamá) busca incorporar un Soporte Técnico IT con al menos 2 años de experiencia comprobada.,"Cisco,Windows Server"
28,Soporte Técnico IT,Soporte Técnico IT,Autoridad del Canal de Panamá (ACP),LinkedIn,2026-03-28,1100.0,1500.0,1,Soporte & IT,"En Autoridad del Canal de Panamá (ACP) estamos expandiendo nuestro equipo técnico. Requerimos Soporte Técnico IT con sólidos conocimientos en Excel, Linux, Cisco, Windows Server para liderar la transformación digital de la empresa.","Excel,Cisco,Windows Server,Linux"
29,Frontend Developer,Frontend Developer,PwC Panamá,Konzerta,2026-05-18,1800.0,2700.0,3,Frontend,Buscamos un Frontend Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para PwC Panamá en Panamá.,"JavaScript,Git,React,Angular,TypeScript"
30,iOS App Developer,iOS App Developer,APEDE,Konzerta,2026-02-01,1700.0,2700.0,3,Mobile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (APEDE) busca incorporar un iOS App Developer con al menos 3 años de experiencia comprobada.,"JavaScript,React Native"
31,iOS App Developer,iOS App Developer,Cable & Wireless,Computrabajo,2026-05-27,1800.0,2500.0,1,Mobile,Buscamos un iOS App Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Cable & Wireless en Panamá.,"JavaScript,Kotlin,React Native"
32,Fullstack Engineer,Fullstack Engineer,Multibank,Konzerta,2026-04-24,2000.0,3900.0,2,Fullstack,"En Multibank estamos expandiendo nuestro equipo técnico. Requerimos Fullstack Engineer con sólidos conocimientos en React, Node.js, Docker, AWS para liderar la transformación digital de la empresa.","Docker,Node.js,React,AWS"
33,Product Owner,Product Owner,GBM Panamá,Computrabajo,2026-01-03,2500.0,4100.0,1,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un Product Owner con al menos 1 años de experiencia comprobada.,"Excel,Jira,Scrum,Agile"
34,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,KPMG Panamá,Konzerta,2026-05-30,2700.0,4100.0,6,DevOps & Cloud,Buscamos un Cloud Infrastructure Specialist dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para KPMG Panamá en Panamá.,"Python,Kubernetes,Azure"
35,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Global Bank,Konzerta,2026-01-07,2400.0,4500.0,3,DevOps & Cloud,"En Global Bank estamos expandiendo nuestro equipo técnico. Requerimos Cloud Infrastructure Specialist con sólidos conocimientos en Git, Terraform, AWS para liderar la transformación digital de la empresa.","Git,Terraform,AWS"
36,Scrum Master,Scrum Master,Tigo Panamá,LinkedIn,2026-06-08,2300.0,2900.0,1,Gestión & Agile,Buscamos un Scrum Master dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Tigo Panamá en Panamá.,"Jira,Scrum"
37,Android Developer,Android Developer,EY Panamá,Konzerta,2026-01-29,1700.0,2300.0,3,Mobile,Buscamos un Android Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para EY Panamá en Panamá.,"JavaScript,Git,Flutter,Kotlin,React Native"
38,Ingeniero de Soporte,Ingeniero de Soporte,PwC Panamá,Computrabajo,2026-05-24,800.0,1600.0,3,Soporte & IT,Buscamos un Ingeniero de Soporte dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para PwC Panamá en Panamá.,"Windows Server,Linux"
39,IT Project Manager,IT Project Manager,GBM Panamá,Computrabajo,2026-04-01,2600.0,3800.0,8,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un IT Project Manager con al menos 8 años de experiencia comprobada.,"Excel,Agile"
40,IT Project Manager,IT Project Manager,KPMG Panamá,Konzerta,2026-05-12,2200.0,3800.0,3,Gestión & Agile,Buscamos un IT Project Manager dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para KPMG Panamá en Panamá.,"Excel,Scrum,Agile"
41,Frontend Developer,Frontend Developer,KPMG Panamá,Computrabajo,2026-03-23,1400.0,2600.0,2,Frontend,Buscamos un Frontend Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para KPMG Panamá en Panamá.,"JavaScript,Angular,Vue,TypeScript,CSS"
42,Python Developer,Python Developer,Banco General,Konzerta,2026-05-29,1900.0,3300.0,3,Backend,"En Banco General estamos expandiendo nuestro equipo técnico. Requerimos Python Developer con sólidos conocimientos en .NET, Git, Python, Docker para liderar la transformación digital de la empresa.","Python,Docker,.NET,Git"
43,Scrum Master,Scrum Master,Multibank,Computrabajo,2026-03-27,2300.0,2900.0,2,Gestión & Agile,"En Multibank estamos expandiendo nuestro equipo técnico. Requerimos Scrum Master con sólidos conocimientos en Excel, Agile, Jira para liderar la transformación digital de la empresa.","Excel,Jira,Agile"
44,BI Engineer,BI Engineer,KPMG Panamá,Computrabajo,2026-01-21,2100.0,2800.0,2,Data & Analytics,"En KPMG Panamá estamos expandiendo nuestro equipo técnico. Requerimos BI Engineer con sólidos conocimientos en Python, Spark, R, Tableau, Excel, PostgreSQL para liderar la transformación digital de la empresa.","Excel,PostgreSQL,Python,R,Spark,Tableau"
45,Android Developer,Android Developer,Autoridad del Canal de Panamá (ACP),Konzerta,2026-01-17,1500.0,2100.0,3,Mobile,Buscamos un Android Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Autoridad del Canal de Panamá (ACP) en Panamá.,"Flutter,Kotlin,Swift"
46,BI Engineer,BI Engineer,Banistmo,Konzerta,2026-04-12,1700.0,3400.0,3,Data & Analytics,Buscamos un BI Engineer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Banistmo en Panamá.,"Excel,PostgreSQL,R,Spark,Power BI"
47,IT Project Manager,IT Project Manager,Banistmo,Konzerta,2026-04-11,2700.0,3500.0,4,Gestión & Agile,"En Banistmo estamos expandiendo nuestro equipo técnico. Requerimos IT Project Manager con sólidos conocimientos en Excel, Jira para liderar la transformación digital de la empresa.","Excel,Jira"
48,Frontend Developer,Frontend Developer,GBM Panamá,LinkedIn,2026-01-02,1400.0,2100.0,2,Frontend,Buscamos un Frontend Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para GBM Panamá en Panamá.,"Git,TypeScript,CSS,HTML"
49,Fullstack Engineer,Fullstack Engineer,Grupo El Machetazo,Konzerta,2026-05-16,1800.0,2500.0,3,Fullstack,Buscamos un Fullstack Engineer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Grupo El Machetazo en Panamá.,"Node.js,Git,React"
50,IT Project Manager,IT Project Manager,APEDE,LinkedIn,2026-06-10,2400.0,2900.0,2,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (APEDE) busca incorporar un IT Project Manager con al menos 2 años de experiencia comprobada.,"Jira,Scrum,Agile"
51,Soporte Técnico IT,Soporte Técnico IT,EY Panamá,LinkedIn,2026-03-15,1000.0,1700.0,2,Soporte & IT,"En EY Panamá estamos expandiendo nuestro equipo técnico. Requerimos Soporte Técnico IT con sólidos conocimientos en Linux, Cisco, Windows Server para liderar la transformación digital de la empresa.","Cisco,Windows Server,Linux"
52,Python Developer,Python Developer,Telered,Konzerta,2026-04-22,2100.0,2600.0,2,Backend,"En Telered estamos expandiendo nuestro equipo técnico. Requerimos Python Developer con sólidos conocimientos en PostgreSQL, Python para liderar la transformación digital de la empresa.","PostgreSQL,Python"
53,Data Scientist,Data Scientist,Sonda Panamá,LinkedIn,2026-04-09,1600.0,3600.0,1,Data & Analytics,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Sonda Panamá) busca incorporar un Data Scientist con al menos 1 años de experiencia comprobada.,"Tableau,Power BI"
54,Java Engineer,Java Engineer,Dell Technologies Panamá,Konzerta,2026-01-27,1600.0,2200.0,2,Backend,"En Dell Technologies Panamá estamos expandiendo nuestro equipo técnico. Requerimos Java Engineer con sólidos conocimientos en C#, Docker para liderar la transformación digital de la empresa.","Docker,C#"
55,Frontend Developer,Frontend Developer,Panafoto,Computrabajo,2026-01-22,1600.0,2100.0,2,Frontend,Buscamos un Frontend Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Panafoto en Panamá.,"CSS,HTML"
56,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Panafoto,Konzerta,2026-04-26,2000.0,3400.0,3,Fullstack,"En Panafoto estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en JavaScript, React, AWS, SQL, Git para liderar la transformación digital de la empresa.","SQL,JavaScript,Git,React,AWS"
57,Fullstack Engineer,Fullstack Engineer,Cable & Wireless,Computrabajo,2026-01-17,1700.0,3100.0,1,Fullstack,Buscamos un Fullstack Engineer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Cable & Wireless en Panamá.,"Python,Node.js,React,AWS"
58,Fullstack Engineer,Fullstack Engineer,Copa Airlines,Konzerta,2026-01-13,2100.0,3200.0,1,Fullstack,Buscamos un Fullstack Engineer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Copa Airlines en Panamá.,"Node.js,AWS"
59,Product Owner,Product Owner,Telered,Computrabajo,2026-02-01,2100.0,4100.0,3,Gestión & Agile,Buscamos un Product Owner dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Telered en Panamá.,"Excel,Jira,Agile"
60,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Autoridad del Canal de Panamá (ACP),Konzerta,2026-05-29,2400.0,3000.0,1,Fullstack,"En Autoridad del Canal de Panamá (ACP) estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en Python, React, Docker para liderar la transformación digital de la empresa.","Python,Docker,React"
61,Frontend Developer,Frontend Developer,Copa Airlines,Computrabajo,2026-03-06,1500.0,2700.0,2,Frontend,Buscamos un Frontend Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Copa Airlines en Panamá.,"Git,React,CSS"
62,Frontend Developer,Frontend Developer,Copa Airlines,Computrabajo,2025-12-16,1400.0,2500.0,2,Frontend,"En Copa Airlines estamos expandiendo nuestro equipo técnico. Requerimos Frontend Developer con sólidos conocimientos en JavaScript, Git, HTML, CSS para liderar la transformación digital de la empresa.","JavaScript,Git,CSS,HTML"
63,Mobile Developer,Mobile Developer,PwC Panamá,LinkedIn,2026-03-18,2000.0,2500.0,1,Mobile,Buscamos un Mobile Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para PwC Panamá en Panamá.,"JavaScript,Git,Kotlin,React Native"
64,Analista de Datos,Analista de Datos,Grupo El Machetazo,Konzerta,2026-04-24,2300.0,3000.0,3,Data & Analytics,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Grupo El Machetazo) busca incorporar un Analista de Datos con al menos 3 años de experiencia comprobada.,"Python,R,Spark,Tableau,Power BI"
65,Soporte Técnico IT,Soporte Técnico IT,Panafoto,Computrabajo,2026-03-11,800.0,1700.0,1,Soporte & IT,"En Panafoto estamos expandiendo nuestro equipo técnico. Requerimos Soporte Técnico IT con sólidos conocimientos en Excel, Redes, Windows Server para liderar la transformación digital de la empresa.","Excel,Windows Server,Redes"
66,IT Project Manager,IT Project Manager,Caja de Seguro Social,LinkedIn,2026-04-13,2300.0,3000.0,3,Gestión & Agile,"En Caja de Seguro Social estamos expandiendo nuestro equipo técnico. Requerimos IT Project Manager con sólidos conocimientos en Agile, Jira, Scrum para liderar la transformación digital de la empresa.","Jira,Scrum,Agile"
67,Python Developer,Python Developer,Tigo Panamá,Konzerta,2026-01-21,1800.0,2700.0,1,Backend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Tigo Panamá) busca incorporar un Python Developer con al menos 1 años de experiencia comprobada.,"Docker,Spring Boot,.NET,Java"
68,UI Developer,UI Developer,Panafoto,LinkedIn,2026-03-18,1700.0,2100.0,3,Frontend,Buscamos un UI Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Panafoto en Panamá.,"Git,Vue,TypeScript,CSS,HTML"
69,UI Developer,UI Developer,Panafoto,Konzerta,2026-01-02,1400.0,2100.0,1,Frontend,Buscamos un UI Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Panafoto en Panamá.,"Vue,TypeScript,CSS,HTML"
70,Frontend Developer,Frontend Developer,Dell Technologies Panamá,Computrabajo,2025-12-23,1500.0,2100.0,1,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Dell Technologies Panamá) busca incorporar un Frontend Developer con al menos 1 años de experiencia comprobada.,"JavaScript,Git,TypeScript,HTML"
71,DevOps Engineer,DevOps Engineer,PwC Panamá,LinkedIn,2026-02-11,2300.0,3800.0,3,DevOps & Cloud,"En PwC Panamá estamos expandiendo nuestro equipo técnico. Requerimos DevOps Engineer con sólidos conocimientos en Kubernetes, Python para liderar la transformación digital de la empresa.","Python,Kubernetes"
72,Soporte Técnico IT,Soporte Técnico IT,Grupo El Machetazo,Computrabajo,2025-12-23,1000.0,1400.0,3,Soporte & IT,"En Grupo El Machetazo estamos expandiendo nuestro equipo técnico. Requerimos Soporte Técnico IT con sólidos conocimientos en Excel, Linux, Cisco, Windows Server para liderar la transformación digital de la empresa.","Excel,Cisco,Windows Server,Linux"
73,Frontend Developer,Frontend Developer,Caja de Seguro Social,Computrabajo,2026-03-25,1500.0,2300.0,1,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Caja de Seguro Social) busca incorporar un Frontend Developer con al menos 1 años de experiencia comprobada.,"React,CSS"
74,Fullstack Engineer,Fullstack Engineer,GBM Panamá,LinkedIn,2026-04-06,2600.0,3500.0,5,Fullstack,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un Fullstack Engineer con al menos 5 años de experiencia comprobada.,"Python,SQL"
75,Java Engineer,Java Engineer,Sonda Panamá,LinkedIn,2026-05-02,2200.0,2600.0,2,Backend,"En Sonda Panamá estamos expandiendo nuestro equipo técnico. Requerimos Java Engineer con sólidos conocimientos en .NET, SQL, Python para liderar la transformación digital de la empresa.","Python,SQL,.NET"
76,React Developer,React Developer,Autoridad del Canal de Panamá (ACP),LinkedIn,2026-04-28,1800.0,2100.0,3,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Autoridad del Canal de Panamá (ACP)) busca incorporar un React Developer con al menos 3 años de experiencia comprobada.,"JavaScript,Git,TypeScript"
77,Analista de Datos,Analista de Datos,PwC Panamá,Computrabajo,2026-03-04,2000.0,3400.0,3,Data & Analytics,Buscamos un Analista de Datos dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para PwC Panamá en Panamá.,"PostgreSQL,Python,SQL,Tableau"
78,Ingeniero de Soporte,Ingeniero de Soporte,Banistmo,Konzerta,2026-02-10,900.0,1200.0,3,Soporte & IT,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Banistmo) busca incorporar un Ingeniero de Soporte con al menos 3 años de experiencia comprobada.,"Excel,Windows Server,Redes"
79,UI Developer,UI Developer,Encuentra24 PA,Konzerta,2025-12-22,1400.0,2800.0,2,Frontend,"En Encuentra24 PA estamos expandiendo nuestro equipo técnico. Requerimos UI Developer con sólidos conocimientos en Vue, HTML para liderar la transformación digital de la empresa.","Vue,HTML"
80,iOS App Developer,iOS App Developer,Supermercados Riba Smith,LinkedIn,2025-12-16,1800.0,2900.0,1,Mobile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Supermercados Riba Smith) busca incorporar un iOS App Developer con al menos 1 años de experiencia comprobada.,"Git,Kotlin,React Native,Swift"
81,Scrum Master,Scrum Master,APEDE,Computrabajo,2026-03-14,2200.0,3300.0,3,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (APEDE) busca incorporar un Scrum Master con al menos 3 años de experiencia comprobada.,"Excel,Scrum,Agile"
82,Backend Developer,Backend Developer,Global Bank,Konzerta,2025-12-22,2200.0,2800.0,3,Backend,Buscamos un Backend Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Global Bank en Panamá.,".NET,Node.js"
83,Scrum Master,Scrum Master,GBM Panamá,Konzerta,2026-03-18,2300.0,3400.0,1,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un Scrum Master con al menos 1 años de experiencia comprobada.,"Excel,Jira,Scrum,Agile"
84,Frontend Developer,Frontend Developer,Multibank,LinkedIn,2026-02-12,1400.0,2800.0,1,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Multibank) busca incorporar un Frontend Developer con al menos 1 años de experiencia comprobada.,"Angular,TypeScript,CSS,HTML"
85,Administrador de Sistemas,Administrador de Sistemas,Tigo Panamá,Konzerta,2026-01-22,900.0,1500.0,2,Soporte & IT,Buscamos un Administrador de Sistemas dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Tigo Panamá en Panamá.,"Excel,Cisco,Virtualización,Linux,Redes"
86,DevOps Engineer,DevOps Engineer,GBM Panamá,LinkedIn,2026-02-06,1900.0,4300.0,3,DevOps & Cloud,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un DevOps Engineer con al menos 3 años de experiencia comprobada.,"Python,Docker,Git,Linux"
87,Python Developer,Python Developer,Banco General,LinkedIn,2025-12-20,1800.0,2200.0,1,Backend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Banco General) busca incorporar un Python Developer con al menos 1 años de experiencia comprobada.,"Python,Spring Boot,SQL,C#"
88,Administrador de Sistemas,Administrador de Sistemas,Cable & Wireless,Computrabajo,2026-03-07,900.0,1800.0,3,Soporte & IT,Buscamos un Administrador de Sistemas dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Cable & Wireless en Panamá.,"Excel,Virtualización,Windows Server,Linux,Redes"
89,Fullstack Engineer,Fullstack Engineer,Encuentra24 PA,LinkedIn,2026-02-24,2200.0,3000.0,2,Fullstack,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Encuentra24 PA) busca incorporar un Fullstack Engineer con al menos 2 años de experiencia comprobada.,"Python,Node.js,JavaScript,React"
